Start time,End time,images
0,1,
,,DJI_0056.JPG
,,DJI_0012.JPG
,,DJI_0010.JPG
,,DJI_0095.JPG
,,DJI_0046.JPG
,,DJI_0057.JPG
,,DJI_0048.JPG
,,DJI_0047.JPG
,,DJI_0055.JPG
,,DJI_0011.JPG
,,DJI_0013.JPG
,,DJI_0049.JPG
1,2,
,,DJI_0056.JPG
,,DJI_0095.JPG
,,DJI_0096.JPG
,,DJI_0094.JPG
,,DJI_0057.JPG
,,DJI_0048.JPG
,,DJI_0093.JPG
,,DJI_0047.JPG
,,DJI_0097.JPG
,,DJI_0055.JPG
,,DJI_0106.JPG
,,DJI_0107.JPG
2,3,
,,DJI_0145.JPG
,,DJI_0110.JPG
,,DJI_0096.JPG
,,DJI_0095.JPG
,,DJI_0094.JPG
,,DJI_0109.JPG
,,DJI_0093.JPG
,,DJI_0146.JPG
,,DJI_0147.JPG
,,DJI_0108.JPG
,,DJI_0106.JPG
,,DJI_0107.JPG
3,4,
,,DJI_0162.JPG
,,DJI_0145.JPG
,,DJI_0110.JPG
,,DJI_0144.JPG
,,DJI_0161.JPG
,,DJI_0109.JPG
,,DJI_0605.JPG
,,DJI_0160.JPG
,,DJI_0163.JPG
,,DJI_0147.JPG
,,DJI_0108.JPG
,,DJI_0107.JPG
,,DJI_0146.JPG
4,5,
,,DJI_0162.JPG
,,DJI_0145.JPG
,,DJI_0199.JPG
,,DJI_0198.JPG
,,DJI_0212.JPG
,,DJI_0161.JPG
,,DJI_0200.JPG
,,DJI_0159.JPG
,,DJI_0605.JPG
,,DJI_0160.JPG
,,DJI_0201.JPG
,,DJI_0147.JPG
,,DJI_0163.JPG
,,DJI_0213.JPG
,,DJI_0214.JPG
,,DJI_0146.JPG
5,6,
,,DJI_0211.JPG
,,DJI_0199.JPG
,,DJI_0198.JPG
,,DJI_0202.JPG
,,DJI_0255.JPG
,,DJI_0200.JPG
,,DJI_0253.JPG
,,DJI_0256.JPG
,,DJI_0213.JPG
,,DJI_0201.JPG
,,DJI_0254.JPG
,,DJI_0212.JPG
,,DJI_0214.JPG
6,7,
,,DJI_0321.JPG
,,DJI_0372.JPG
,,DJI_0255.JPG
,,DJI_0320.JPG
,,DJI_0265.JPG
,,DJI_0383.JPG
,,DJI_0370.JPG
,,DJI_0313.JPG
,,DJI_0312.JPG
,,DJI_0322.JPG
,,DJI_0380.JPG
,,DJI_0263.JPG
,,DJI_0379.JPG
,,DJI_0253.JPG
,,DJI_0254.JPG
,,DJI_0371.JPG
,,DJI_0309.JPG
,,DJI_0323.JPG
,,DJI_0310.JPG
,,DJI_0381.JPG
,,DJI_0431.JPG
,,DJI_0267.JPG
,,DJI_0382.JPG
,,DJI_0212.JPG
,,DJI_0266.JPG
,,DJI_0311.JPG
,,DJI_0373.JPG
,,DJI_0433.JPG
,,DJI_0434.JPG
,,DJI_0432.JPG
,,DJI_0264.JPG
,,DJI_0213.JPG
,,DJI_0256.JPG
7,8,
,,DJI_0442.JPG
,,DJI_0433.JPG
,,DJI_0381.JPG
,,DJI_0380.JPG
,,DJI_0444.JPG
,,DJI_0434.JPG
,,DJI_0432.JPG
,,DJI_0431.JPG
,,DJI_0445.JPG
,,DJI_0441.JPG
,,DJI_0496.JPG
,,DJI_0495.JPG
,,DJI_0379.JPG
,,DJI_0498.JPG
,,DJI_0497.JPG
,,DJI_0443.JPG
8,9,
,,DJI_0524.JPG
,,DJI_0593.JPG
,,DJI_0519.JPG
,,DJI_0554.JPG
,,DJI_0550.JPG
,,DJI_0522.JPG
,,DJI_0520.JPG
,,DJI_0591.JPG
